"","iso2c","year","country","RR_Independence","RR_CurrencyCrisis","RR_InflationCrisis","RR_StockMarketCrash","RR_SovDebtCrisisDom","RR_SovDebtCrisisExt","RR_BankingCrisis","RR_YearlyCrisisTally","LV2012.Fiscal","Keefer2007.Fiscal","Honohan2003.Fiscal","HonohanCrisisOngoing","ongoingLV","polity2"
"62","AR",1841,"Argentina","1","0","1","0","0","1","0","2",NA,NA,NA,NA,NA,-5
"63","AR",1842,"Argentina","1","0","1","0","0","1","0","2",NA,NA,NA,NA,NA,-5
"64","AR",1843,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-5
"65","AR",1844,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-5
"66","AR",1845,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-5
"67","AR",1846,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-5
"68","AR",1847,"Argentina","1","0","1","0","0","1","0","2",NA,NA,NA,NA,NA,-5
"69","AR",1848,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-5
"70","AR",1849,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-5
"71","AR",1850,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-5
"72","AR",1851,"Argentina","1","0","1","0","0","1","0","2",NA,NA,NA,NA,NA,-5
"73","AR",1852,"Argentina","1","0","1","0","0","1","0","2",NA,NA,NA,NA,NA,-4
"74","AR",1853,"Argentina","1","0","1","0","0","1","0","2",NA,NA,NA,NA,NA,-3
"75","AR",1854,"Argentina","1","0","1","0","0","1","0","2",NA,NA,NA,NA,NA,-3
"76","AR",1855,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-3
"77","AR",1856,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-3
"78","AR",1857,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-3
"79","AR",1858,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"80","AR",1859,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"81","AR",1860,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"82","AR",1861,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"83","AR",1862,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"84","AR",1863,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"85","AR",1864,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"86","AR",1865,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"87","AR",1866,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"88","AR",1867,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"89","AR",1868,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"90","AR",1869,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"91","AR",1870,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"92","AR",1871,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"93","AR",1872,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"94","AR",1873,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"95","AR",1874,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"96","AR",1875,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"97","AR",1876,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"98","AR",1877,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"99","AR",1878,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"100","AR",1879,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-3
"101","AR",1880,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"102","AR",1881,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"103","AR",1882,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"104","AR",1883,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"105","AR",1884,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"106","AR",1885,"Argentina","1","1","1","0","0","0","0","2",NA,NA,NA,NA,NA,1
"107","AR",1886,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"108","AR",1887,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"109","AR",1888,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"110","AR",1889,"Argentina","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,1
"111","AR",1890,"Argentina","1","1","1","0","1","1","1","5",NA,NA,NA,NA,NA,1
"112","AR",1891,"Argentina","1","1","0","0","1","1","1","4",NA,NA,NA,NA,NA,1
"113","AR",1892,"Argentina","1","0","0","0","1","1","0","2",NA,NA,NA,NA,NA,1
"114","AR",1893,"Argentina","1","0","0","0","1","1","0","2",NA,NA,NA,NA,NA,1
"115","AR",1894,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"116","AR",1895,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"117","AR",1896,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"118","AR",1897,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"119","AR",1898,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"120","AR",1899,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"121","AR",1900,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"122","AR",1901,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"123","AR",1902,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"124","AR",1903,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"125","AR",1904,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"126","AR",1905,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"127","AR",1906,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"128","AR",1907,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"129","AR",1908,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"130","AR",1909,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"131","AR",1910,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"132","AR",1911,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,1
"133","AR",1912,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"134","AR",1913,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"135","AR",1914,"Argentina","1","0","0","0","0","0","1","1",NA,NA,NA,NA,NA,2
"136","AR",1915,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"137","AR",1916,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"138","AR",1917,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"139","AR",1918,"Argentina","1","0","1","0","0","0","0","1",NA,NA,NA,NA,NA,2
"140","AR",1919,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"141","AR",1920,"Argentina","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,2
"142","AR",1921,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"143","AR",1922,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"144","AR",1923,"Argentina","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,2
"145","AR",1924,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"146","AR",1925,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"147","AR",1926,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"148","AR",1927,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"149","AR",1928,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"150","AR",1929,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,2
"151","AR",1930,"Argentina","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,-8
"152","AR",1931,"Argentina","1","1","0","0","0","0","1","2",NA,NA,NA,NA,NA,-8
"153","AR",1932,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-8
"154","AR",1933,"Argentina","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,-8
"155","AR",1934,"Argentina","1","0","0","0","0","0","1","1",NA,NA,NA,NA,NA,-8
"156","AR",1935,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-8
"157","AR",1936,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-8
"158","AR",1937,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,5
"159","AR",1938,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,5
"160","AR",1939,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,5
"161","AR",1940,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,5
"162","AR",1941,"Argentina","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,5
"163","AR",1942,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,5
"164","AR",1943,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-8
"165","AR",1944,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-8
"166","AR",1945,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-8
"167","AR",1946,"Argentina","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,-8
"168","AR",1947,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-9
"169","AR",1948,"Argentina","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,-9
"170","AR",1949,"Argentina","1","1","1","1","0","0","0","3",NA,NA,NA,NA,NA,-9
"171","AR",1950,"Argentina","1","0","1","1","0","0","0","2",NA,NA,NA,NA,NA,-9
"172","AR",1951,"Argentina","1","1","1","1","0","1","0","4",NA,NA,NA,NA,NA,-9
"173","AR",1952,"Argentina","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,-9
"174","AR",1953,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-9
"175","AR",1954,"Argentina","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,-9
"176","AR",1955,"Argentina","1","1","0","1","0","0","0","2",NA,NA,NA,NA,NA,-6
"177","AR",1956,"Argentina","1","0","0","1","0","1","0","2",NA,NA,NA,NA,NA,-3
"178","AR",1957,"Argentina","1","0","1","1","0","1","0","3",NA,NA,NA,NA,NA,-1
