"country","year","time","NetCost","GovAssets","GovLiabilities","ContingentLiabilities","NetCostPerGdp_variable","NetCostPerGdp_2008","GovAssetsPerGdp_variable","GovAssetsPerGdp_2008","GovLiabilitiesPerGdp_variable","GovLiabilitiesPerGdp_2008","ContingentLiabilitiesPerGdp_variable","ContingentLiabilitiesPerGdp_2008"
"ES",2010,4,772,25918,25918,59506,0.07,0.07,2.48,2.38,2.48,2.38,5.69,5.47
"ES",2011,5,-3516,19200,24337,64659,-0.34,-0.32,1.83,1.77,2.33,2.24,6.18,5.94
"ES",2012,6,-38289,9824,54029,105093,-3.72,-3.52,0.95,0.9,5.25,4.97,10.21,9.66
"ES",2013,7,-4694,6981,56008,95604,NA,-0.43,NA,0.64,NA,5.15,NA,8.79
"FI",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",2008,2,0,0,0,115,0,0,0,0,0,0,0.06,0.06
"FI",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",2012,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FR",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FR",2008,2,48,10823,11452,39211,0,0,0.56,0.56,0.59,0.59,2.03,2.03
"FR",2009,3,1356,6751,5896,100111,0.07,0.07,0.36,0.35,0.31,0.3,5.31,5.18
"FR",2010,4,995,2463,801,90417,0.05,0.05,0.13,0.13,0.04,0.04,4.67,4.68
"FR",2011,5,601,30,0,70233,0.03,0.03,0,0,0,0,3.51,3.63
"FR",2012,6,-2198,30,2585,50605,-0.11,-0.11,0,0,0.13,0.13,2.49,2.62
"FR",2013,7,345.6,30,2654,68839,NA,0.02,NA,0,NA,0.14,NA,3.56
"GR",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GR",2008,2,0,0,-6,1890,0,0,0,0,0,0,0.81,0.81
"GR",2009,3,373,3983,3947,5617,0.16,0.16,1.72,1.71,1.71,1.69,2.43,2.41
"GR",2010,4,960,3911,3407,55834,0.43,0.41,1.76,1.68,1.53,1.46,25.13,23.94
"GR",2011,5,633,4959,5081,67801,0.3,0.27,2.38,2.13,2.44,2.18,32.51,29.07
"GR",2012,6,-5267,30955,35710,54111,-2.72,-2.26,15.98,13.27,18.43,15.31,27.93,23.2
"GR",2013,7,-19272,29503,42005,51144,NA,-8.26,NA,12.65,NA,18.01,NA,21.93
"HR",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HR",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HR",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HR",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HR",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HR",2012,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HR",2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HU",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HU",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HU",2009,3,4.3,1758,1758,0,0,0,1.92,1.67,1.92,1.67,0,0
"HU",2010,4,7.4,995.3,995.3,0,0.01,0.01,1.03,0.94,1.03,0.94,0,0
"HU",2011,5,9.8,498.9,498.9,0,0.01,0.01,0.5,0.47,0.5,0.47,0,0
"HU",2012,6,0.8,0,0,0,0,0,0,0,0,0,0,0
"HU",2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IE",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IE",2008,2,0,0,110.1,352329,0,0,0,0,0.06,0.06,195.47,195.47
"IE",2009,3,-3767,2311.3,6176.8,281176,-2.32,-2.09,1.42,1.28,3.81,3.43,173.26,155.99
"IE",2010,4,-31544.8,1264.5,38203.4,156979.1,-19.95,-17.5,0.8,0.7,24.16,21.19,99.29,87.09
"IE",2011,5,-5731.7,-2519.2,45567.8,142169,-3.53,-3.18,-1.55,-1.4,28.02,25.28,87.43,78.87
"IE",2012,6,1603.1,-254.2,46669.6,114242,0.98,0.89,-0.16,-0.14,28.47,25.89,69.69,63.38
"IE",2013,7,-747.5,-581.7,48467.6,66424,NA,-0.41,NA,-0.32,NA,26.89,NA,36.85
"IT",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IT",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IT",2009,3,-16.5,4050,4050,0,0,0,0.27,0.26,0.27,0.26,0,0
"IT",2010,4,88,4050,4050,0,0.01,0.01,0.26,0.26,0.26,0.26,0,0
"IT",2011,5,187.8,2600,2600,43715,0.01,0.01,0.16,0.17,0.16,0.17,2.77,2.78
"IT",2012,6,606.4,2600,2600,85679,0.04,0.04,0.17,0.17,0.17,0.17,5.47,5.44
"IT",2013,7,716,4071,4071,81679,NA,0.05,NA,0.26,NA,0.26,NA,5.19
"LT",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LT",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LT",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LT",2010,4,-32.3,0,32.3,0,-0.12,-0.1,0,0,0.12,0.1,0,0
"LT",2011,5,-2.6,864.6,867.2,0,-0.01,-0.01,2.79,2.67,2.8,2.68,0,0
"LT",2012,6,-41.4,653.6,695,0,-0.13,-0.13,1.98,2.02,2.11,2.14,0,0
"LT",2013,7,-43.4,791.3,834.7,0,-0.13,-0.13,2.29,2.44,2.41,2.58,0,0
"LU",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LU",2008,2,-20.4,2506.2,2500,1776.9,-0.05,-0.05,6.71,6.71,6.69,6.69,4.75,4.75
"LU",2009,3,-68.7,2534.7,2500,1513.2,-0.19,-0.18,7.12,6.78,7.03,6.69,4.25,4.05
"LU",2010,4,51.8,2534.7,2500,1333.3,0.13,0.14,6.45,6.78,6.36,6.69,3.39,3.57
"LU",2011,5,59.3,2534.7,2500,1377.8,0.14,0.16,6.07,6.78,5.99,6.69,3.3,3.69
"LU",2012,6,29.3,2607.7,2500,2210.1,0.07,0.08,6.08,6.98,5.83,6.69,5.15,5.91
"LU",2013,7,-1.9,2607.7,2500,2262.1,NA,-0.01,NA,6.98,NA,6.69,NA,6.05
"LV",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",2008,2,2.1,958.9,956.7,0,0.01,0.01,4.19,4.19,4.18,4.18,0,0
"LV",2009,3,-183.9,938.2,1120.7,669.2,-0.99,-0.8,5.07,4.1,6.05,4.9,3.61,2.92
"LV",2010,4,-385.9,759.5,1331.2,359.1,-2.14,-1.69,4.21,3.32,7.38,5.82,1.99,1.57
"LV",2011,5,-92.1,611,1275.2,126.6,-0.46,-0.4,3.02,2.67,6.31,5.57,0.63,0.55
"LV",2012,6,-209.8,174.2,1367.7,126.6,-0.94,-0.92,0.78,0.76,6.15,5.98,0.57,0.55
"LV",2013,7,39,174.2,1291.9,126.6,NA,0.17,NA,0.76,NA,5.64,NA,0.55
"MT",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",2012,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NL",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NL",2008,2,73,81431,81358,2740,0.01,0.01,13.7,13.7,13.69,13.69,0.46,0.46
"NL",2009,3,-2260,56009,54602,79712,-0.39,-0.38,9.77,9.42,9.53,9.18,13.91,13.41
"NL",2010,4,-1155,49925,52280,39948,-0.2,-0.19,8.51,8.4,8.91,8.79,6.81,6.72
"NL",2011,5,-137,43265,47957,34125,-0.02,-0.02,7.22,7.28,8.01,8.07,5.7,5.74
"NL",2012,6,-171,40227,45132,18192,-0.03,-0.03,6.71,6.77,7.53,7.59,3.04,3.06
"NL",2013,7,-119,37437,41720,16100,NA,-0.02,NA,6.3,NA,7.02,NA,2.71
"PL",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",2012,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PT",2007,1,0,150,150,0,0,0,0.09,0.09,0.09,0.09,0,0
"PT",2008,2,1.7,930,550,1750,0,0,0.54,0.54,0.32,0.32,1.02,1.02
"PT",2009,3,9.4,1930,1550,8350,0.01,0.01,1.15,1.12,0.92,0.9,4.95,4.86
"PT",2010,4,-2224.7,6224.6,6294.1,5425,-1.29,-1.29,3.6,3.62,3.64,3.66,3.14,3.15
"PT",2011,5,-881.5,6224.6,7294.1,16000,-0.52,-0.51,3.64,3.62,4.26,4.24,9.35,9.3
"PT",2012,6,-1004.4,12524,17640,16675,-0.61,-0.58,7.59,7.28,10.68,10.26,10.1,9.7
"PT",2013,7,-635.4,12494,17513.3,16425,NA,-0.37,NA,7.26,NA,10.18,NA,9.55
"RO",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RO",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RO",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RO",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RO",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RO",2012,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RO",2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SE",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SE",2008,2,-1.5,221.9,221.9,13622.5,0,0,0.07,0.07,0.07,0.07,4.09,4.09
"SE",2009,3,128.7,2016.5,547.2,26406.2,0.04,0.04,0.69,0.61,0.19,0.16,9.03,7.92
"SE",2010,4,262.1,2313.8,625.7,19669.5,0.07,0.08,0.66,0.69,0.18,0.19,5.62,5.9
"SE",2011,5,228.4,1694.5,629.5,10181.2,0.06,0.07,0.44,0.51,0.16,0.19,2.64,3.06
"SE",2012,6,134.1,2052,653.7,3537.1,0.03,0.04,0.5,0.62,0.16,0.2,0.87,1.06
"SE",2013,7,105,0,0,1007.8,0.02,0.03,0,0,0,0,0.24,0.3
"SI",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SI",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SI",2009,3,3.7,1430,1430,2000,0.01,0.01,4.04,3.84,4.04,3.84,5.65,5.37
"SI",2010,4,13.5,1430,1430,2200,0.04,0.04,4.03,3.84,4.03,3.84,6.2,5.91
"SI",2011,5,-236.9,1472,1472,1554.9,-0.66,-0.64,4.07,3.95,4.07,3.95,4.3,4.17
"SI",2012,6,-60.8,1524,1524,199.9,-0.17,-0.16,4.32,4.09,4.32,4.09,0.57,0.54
"SI",2013,7,-3668.1,1199,1199,398.1,NA,-9.85,NA,3.22,NA,3.22,NA,1.07
"SK",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK",2012,6,-60,0,60,0,-0.08,-0.09,0,0,0.08,0.09,0,0
"SK",2013,7,0,0,60,0,NA,0,NA,0,NA,0.09,NA,0
"UK",2007,1,61.4,0,-1.4,36721.9,0,0,0,0,0,0,1.76,2
"UK",2008,2,-5587.2,37067.7,64290.8,325007.9,-0.3,-0.3,2.02,2.02,3.5,3.5,17.7,17.7
"UK",2009,3,-8076.9,80440.3,125309.1,620685.7,-0.51,-0.44,5.06,4.38,7.88,6.82,39.02,33.8
"UK",2010,4,1522.4,181978.5,198449,424720.3,0.09,0.08,10.51,9.91,11.46,10.81,24.52,23.13
"UK",2011,5,1079.6,141174.4,187471.6,201364.8,0.06,0.06,7.97,7.69,10.59,10.21,11.37,10.97
"UK",2012,6,2015.1,155441.7,177847.1,9802.7,0.1,0.11,8.04,8.47,9.2,9.69,0.51,0.53
"UK",2013,7,-1217.5,144235.3,159935.2,0,NA,-0.07,NA,7.86,NA,8.71,NA,0
